accession	tissues	assay_name
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample03_S1R6_072416_Fr05
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample17_S1R15_051516_Fr01
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample18_S2R20_040416_Fr06
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample1_S2R1_070416_Fr2
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample15_S2R9_061016_Fr04
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample27_S1R3_081316_Fr05
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample22_S2R5_041116_Fr06
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample27_S2R19_050416_Fr08
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample16_S2R12_031116_Fr11
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample23_S2R7_041716_Fr09
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample28_S2R14_051616_Fr04
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample25_S2R10_042616_Fr07
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample24_S1R26_082616_Fr04
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample07_S1R20_021616_Fr01
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample6_S2R13_122615_Fr09
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample12_S1R7_041516_Fr12
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample16_S2R12_031116_Fr04
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample9_S2R28_020216_Fr03
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample11_S1R2_031516_Fr01
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample01_121115_Fr11
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample20_S2R23_061716_Fr02
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample6_S2R13_122615_Fr02
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample27_S2R19_050416_Fr11
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample13_S1R9_072116_Fr08
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample19_S1R17_072916_Fr07
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample21_S2R27_062316_Fr10
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample26_S2R18_042916_Fr04
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample27_S2R19_050416_Fr04
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample16_S2R12_031116_Fr09
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample13_S1R9_072116_Fr07
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample23_S2R7_041716_Fr06
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample07_S1R20_021616_Fr07
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample27_S2R19_050416_Fr10
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample10_S1R25_030516_Fr10
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample8_S2R26_012016_Fr07
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample26_S1R28_081016_Fr11
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample25_S2R10_042616_Fr02
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample6_S2R13_122615_Fr03
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample5_S2R11_121815_Fr11
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample7_S2R25_070716_Fr3
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample04_S1R8_012616_Fr04
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample16_S1R14_050716_Fr02
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample5_S2R11_121815_Fr06
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample24_S2R8_042216_Fr05
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample4_S2R4_062216_Fr08
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample04_S1R8_012616_Fr05
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample11_S1R2_031516_Fr07
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample17_S2R15_070816_Fr12
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample21_S1R19_070816_Fr12
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample2_120815_Fr11
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample17_S1R15_051516_Fr07
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample01_121115_Fr09
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample01_121115_Fr03
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample15_S1R13_042416_Fr01
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample1_S2R1_070416_Fr1
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample22_S1R21_062116_Fr07
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample14_S1R10_042116_Fr08
