accession	tissues	assay_name
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_L_KK39
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_T_KK34
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_CT_KK36
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_T_KK40
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_T_KK44
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_L_KK43
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_L_KK42
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_CT_KK41
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_T_KK38
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_T_KK43
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_CT_KK43
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_CT_KK34
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_L_KK44
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_L_KK38
PXD017056	"[""blood""]"	20181101VS64
PXD017056	"[""blood""]"	20170407VS61
PXD017056	"[""blood""]"	20170407VS62
PXD017056	"[""blood""]"	20181101VS63
PXD017056	"[""blood""]"	20181101VS68
PXD017056	"[""blood""]"	20181101VS65
PXD017056	"[""blood""]"	20181101VS69
PXD017056	"[""blood""]"	20181101VS67
PXD017056	"[""blood""]"	20181101VS66
PXD014894	"[""blood""]"	MV_M3_5
PXD014894	"[""blood""]"	MV_M1_3
PXD014894	"[""blood""]"	TotExtr_T2_3
PXD014894	"[""blood""]"	Exo_E2_2
PXD014894	"[""blood""]"	TotExtr_T3_1
PXD014894	"[""blood""]"	Exo_E2_4
PXD014894	"[""blood""]"	Exo_E3_2
PXD014894	"[""blood""]"	MV_M2_3
PXD014894	"[""blood""]"	MV_M1_1
PXD014894	"[""blood""]"	Exo_E1_4
PXD014894	"[""blood""]"	TotExtr_T2_5
PXD014894	"[""blood""]"	MV_M1_4
PXD014894	"[""blood""]"	MV_M3_3
PXD014894	"[""blood""]"	Exo_E1_5
PXD014894	"[""blood""]"	Exo_E1_6
PXD014894	"[""blood""]"	MV_M3_6
PXD014894	"[""blood""]"	Exo_E3_5
PXD014894	"[""blood""]"	MV_M3_2
PXD014894	"[""blood""]"	TotExtr_T1_5
PXD014894	"[""blood""]"	TotExtr_T2_2
PXD014894	"[""blood""]"	Exo_E2_6
PXD014894	"[""blood""]"	TotExtr_T2_4
PXD014894	"[""blood""]"	TotExtr_T3_2
PXD014894	"[""blood""]"	MV_M1_6
PXD014894	"[""blood""]"	TotExtr_T3_6
PXD014894	"[""blood""]"	Exo_E2_1
PXD014894	"[""blood""]"	Exo_E2_5
PXD014894	"[""blood""]"	TotExtr_T1_4
PXD014894	"[""blood""]"	MV_M3_4
PXD014894	"[""blood""]"	MV_M1_5
PXD014894	"[""blood""]"	MV_M2_2
PXD014894	"[""blood""]"	MV_M3_1
PXD014894	"[""blood""]"	Exo_E2_3
PXD014894	"[""blood""]"	TotExtr_T2_1
PXD014894	"[""blood""]"	Exo_E1_3
PXD014894	"[""blood""]"	TotExtr_T1_1
PXD014894	"[""blood""]"	Exo_E3_3
PXD014894	"[""blood""]"	Exo_E3_4
PXD014894	"[""blood""]"	Exo_E1_1
PXD014894	"[""blood""]"	MV_M2_6
PXD014894	"[""blood""]"	TotExtr_T1_6
PXD014894	"[""blood""]"	MV_M1_2
PXD014894	"[""blood""]"	Exo_E3_6
PXD014894	"[""blood""]"	TotExtr_T1_3
PXD014894	"[""blood""]"	TotExtr_T2_6
PXD014894	"[""blood""]"	MV_M2_1
PXD014894	"[""blood""]"	MV_M2_4
PXD014894	"[""blood""]"	Exo_E3_1
PXD014894	"[""blood""]"	TotExtr_T3_3
PXD014894	"[""blood""]"	TotExtr_T1_2
PXD014894	"[""blood""]"	TotExtr_T3_5
PXD014894	"[""blood""]"	Exo_E1_2
PXD014894	"[""blood""]"	MV_M2_5
PXD014894	"[""blood""]"	TotExtr_T3_4
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_13
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_42
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_05
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_38
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_27
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_66
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_03
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_20
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_01
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_28
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_10
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_18
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_16
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_14
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_25
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_06
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_09
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_15
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_17
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_22
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_30
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_23
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_04
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_31
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_26
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_29
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_08
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_07
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_32
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_11
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_24
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_54
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_21
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_19
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_02
PXD015163	"[""blood plasma""]"	Cancer_Colorectal_12
PXD018208	"[""blood""]"	20160301_Serum_SA_glycopeptide_HCC_1
PXD018208	"[""blood""]"	Phil-BS-tryp-GP-1
PXD018208	"[""blood""]"	20160301_Serum_SA_glycopeptide_HCC_3
PXD018208	"[""blood""]"	20160301_Serum_SA_glycopeptide_HCC_2
PXD018208	"[""blood""]"	20160301_Serum_SA_glycopeptide_Normal_2
PXD018208	"[""blood""]"	20160301_Serum_SA_glycopeptide_Normal_3
PXD018208	"[""blood""]"	20160301_Serum_SA_glycopeptide_Normal_1
PXD013038	"[""kidney""]"	FCarrieri_161129_03
PXD013038	"[""kidney""]"	FCarrieri_161006_01
PXD013038	"[""kidney""]"	FCarrieri_161129_02
PXD013038	"[""kidney""]"	FCarrieri_161006_06
PXD013038	"[""kidney""]"	FCarrieri_161006_04
PXD013038	"[""kidney""]"	FCarrieri_161129_01
PXD013038	"[""kidney""]"	FCarrieri_161006_03
PXD013038	"[""kidney""]"	FCarrieri_161006_05
PXD013038	"[""kidney""]"	FCarrieri_161006_02
PXD011116	"[""lung""]"	170305_42_MSz-DD_F8-2_TCL_1416
PXD011116	"[""lung""]"	170301_10_MSz-DD_F8-2_TCL_5250
PXD011116	"[""lung""]"	170302_18_MSz-DD_F8-2_TCL_1891
PXD011116	"[""lung""]"	170308_50_MSz-DD_F8-2_TCL_4062
PXD011116	"[""lung""]"	170304_28_MSz-DD_F8-2_TCL_1365
PXD011116	"[""lung""]"	170303_22_MSz-DD_F8-2_TCL_4515
PXD011116	"[""lung""]"	170307_48_MSz-DD_F8-2_TCL_1183
